ExperimentID,Datetime,train_sparse_categorical_accuracy,val_sparse_categorical_accuracy
1,20210922-00:56:06,1.0,0.9228187799453735
2,20210922-00:56:25,0.9991596341133118,0.9295302033424377
3,20210922-01:00:19,1.0,0.9295302033424377
4,20210922-01:00:38,0.9991596341133118,0.9395973086357117
5,20210922-01:02:18,1.0,0.9295302033424377
6,20210922-01:02:36,0.9991596341133118,0.9429529905319214
7,20210922-01:02:45,0.978151261806488,0.9328858852386475
8,20210922-01:02:55,0.9915966391563416,0.926174521446228
9,20210922-01:03:06,0.965546190738678,0.9295302033424377
10,20210922-01:03:16,0.9478991627693176,0.9161073565483093
11,20210922-01:03:32,0.9033613204956055,0.9093959927558899
12,20210922-01:03:45,0.9310924410820007,0.926174521446228
13,20210922-01:03:56,0.9756302237510681,0.9194630980491638
14,20210922-01:04:05,0.9537814855575562,0.9295302033424377
15,20210922-01:04:15,0.9773108959197998,0.9395973086357117
16,20210922-01:04:26,0.9831932783126831,0.9228187799453735
17,20210922-01:04:35,0.9613445401191711,0.936241626739502
18,20210922-01:04:50,0.9789915680885315,0.936241626739502
19,20210922-01:05:09,0.9747899174690247,0.936241626739502
20,20210922-01:05:20,0.9789915680885315,0.9228187799453735
21,20210922-01:05:28,0.9915966391563416,0.9429529905319214
22,20210922-01:05:35,0.9865546226501465,0.9328858852386475
23,20210922-01:05:42,0.9882352948188782,0.9463087320327759
24,20210922-01:05:51,0.9831932783126831,0.926174521446228
25,20210922-01:08:26,0.9857142567634583,0.936241626739502
26,20210922-01:15:24,1.0,0.926174521446228
27,20210922-01:15:44,0.9983193278312683,0.936241626739502
28,20210922-01:16:04,0.9991596341133118,0.9395973086357117
29,20210922-01:16:15,0.9806722402572632,0.926174521446228
30,20210922-01:16:26,0.9932773113250732,0.936241626739502
31,20210922-01:16:41,0.9672268629074097,0.936241626739502
32,20210922-01:16:56,0.9840335845947266,0.9295302033424377
33,20210922-01:17:17,0.9176470637321472,0.926174521446228
34,20210922-01:17:25,0.889915943145752,0.9194630980491638
35,20210922-01:17:35,0.9798319339752197,0.9429529905319214
36,20210922-01:17:45,0.9621848464012146,0.936241626739502
37,20210922-01:17:54,0.978151261806488,0.9295302033424377
38,20210922-01:18:03,0.9815126061439514,0.9295302033424377
39,20210922-01:18:13,0.9596638679504395,0.926174521446228
40,20210922-01:18:29,0.9773108959197998,0.9328858852386475
41,20210922-01:18:47,0.9756302237510681,0.9429529905319214
42,20210922-01:19:01,0.9840335845947266,0.9228187799453735
43,20210922-01:19:09,0.9848739504814148,0.9295302033424377
44,20210922-01:19:16,0.9882352948188782,0.936241626739502
45,20210922-01:19:23,0.9831932783126831,0.9463087320327759
46,20210922-01:19:32,0.9806722402572632,0.9395973086357117
47,20210922-01:21:41,0.9756302237510681,0.9328858852386475
48,20210922-01:22:42,0.9697479009628296,0.926174521446228
49,20210922-01:24:18,0.9722688794136047,0.9395973086357117
50,20210922-10:42:37,0.9907562732696533,0.9295302033424377
51,20210922-10:42:56,0.9983193278312683,0.9295302033424377
52,20210922-10:43:17,0.9966386556625366,0.9395973086357117
53,20210922-10:43:32,0.9957982897758484,0.936241626739502
54,20210922-10:43:44,0.978151261806488,0.926174521446228
55,20210922-10:43:55,0.9647058844566345,0.926174521446228
56,20210922-10:44:10,0.9747899174690247,0.926174521446228
57,20210922-10:44:30,0.9075630307197571,0.9093959927558899
58,20210922-10:44:46,0.8957983255386353,0.9194630980491638
59,20210922-10:44:59,0.9680672287940979,0.9328858852386475
60,20210922-10:45:12,0.9352940917015076,0.9328858852386475
61,20210922-10:45:23,0.9563025236129761,0.9328858852386475
62,20210922-10:45:33,0.929411768913269,0.9127516746520996
63,20210922-10:45:47,0.9596638679504395,0.9228187799453735
64,20210922-10:46:03,0.965546190738678,0.9228187799453735
65,20210922-10:46:16,0.9798319339752197,0.9295302033424377
66,20210922-10:46:35,0.9672268629074097,0.936241626739502
67,20210922-10:46:53,0.973109245300293,0.9328858852386475
68,20210922-10:47:05,0.9840335845947266,0.926174521446228
69,20210922-10:47:12,0.9890756011009216,0.9328858852386475
70,20210922-10:47:19,0.9840335845947266,0.9295302033424377
71,20210922-10:47:27,0.9789915680885315,0.936241626739502
72,20210922-10:47:38,0.9773108959197998,0.936241626739502
73,20210922-11:02:41,0.9647058844566345,0.9194630980491638
74,20210922-11:03:07,0.973109245300293,0.9228187799453735
75,20210922-11:06:53,1.0,0.9295302033424377
76,20210922-11:07:14,0.9974789619445801,0.9328858852386475
77,20210922-11:07:35,0.978151261806488,0.9228187799453735
78,20210922-11:07:48,0.9739495515823364,0.9093959927558899
79,20210922-11:08:01,0.9949579834938049,0.9328858852386475
80,20210922-11:08:16,0.9621848464012146,0.9328858852386475
81,20210922-11:08:27,0.9630252122879028,0.9295302033424377
82,20210922-11:08:40,0.8764705657958984,0.9026845693588257
83,20210922-11:08:58,0.9033613204956055,0.9161073565483093
84,20210922-11:09:12,0.9697479009628296,0.9328858852386475
85,20210922-11:09:27,0.9487394690513611,0.926174521446228
86,20210922-11:09:43,0.9764705896377563,0.9328858852386475
87,20210922-11:09:55,0.9579831957817078,0.926174521446228
88,20210922-11:10:16,0.970588207244873,0.9429529905319214
89,20210922-11:10:39,0.9840335845947266,0.9295302033424377
90,20210922-11:10:51,0.9529411792755127,0.926174521446228
91,20210922-11:11:05,0.9504201412200928,0.9295302033424377
92,20210922-11:11:18,0.9420167803764343,0.9161073565483093
93,20210922-11:11:35,0.9714285731315613,0.9395973086357117
94,20210922-11:11:43,0.9789915680885315,0.936241626739502
95,20210922-11:11:50,0.9756302237510681,0.9295302033424377
96,20210922-11:11:58,0.9647058844566345,0.936241626739502
97,20210922-11:12:09,0.9689075350761414,0.9295302033424377
